movie_id,director
10,Morten Tyldum
22,Kenneth Lonergan
1,James Gunn
12,Theodore Melfi
25,Roland Emmerich
55,Christopher Nolan
60,Clint Eastwood
62,André Øvredal
24,Walt Dohrn
59,Lone Scherfig
53,Garry Marshall
70,Peter Berg
67,Peter Berg
50,Sean Penn
81,Christopher Nolan
74,Dav_id F_idel
73,J.A. Bayona
93,Tate Taylor
75,Byron Howard
49,Justin Lin
34,Tim Miller
_design/794d3a1331c7f3304fb7715d2e2b21095f9e1be9,
6,Yimou Zhang
40,Patrick Read Johnson
72,Robert Zemeckis
44,John Lee Hancock
91,Denis Villeneuve
95,Joss Whedon
31,John Hamburg
13,Gareth Edwards
32,Feliks Falk
33,Bryan Singer
17,Mel Gibson
20,Denis Villeneuve
42,Barry Jenkins
26,Dominique Abel
39,Antoine Fuqua
16,Chris Renaud
4,Christophe Lourdelet
64,Sam Taylor-Johnson
56,Martin Scorsese
28,Phillip Guzman
11,Dav_id Yates
54,Chad Stahelski
80,Paul Feig
45,Ricardo de Montreuil
97,Makoto Shinkai
15,Nacho Vigalondo
90,Gavin O'Connor
92,Duncan Jones
98,Jeremy Gillespie
19,Garth Davis
61,Zack Snyder
76,Gore Verbinski
69,Robin Swicord
48,Scott Hicks
_design/f2e6f01a9d833e6d7edf525aeb2a6dccd91456f8,
82,Matt Ross
100,Martin Scorsese
36,Anthony Russo
35,Richard Gage
14,Ron Clements
46,Rob Marshall
29,Jon Lucas
66,Matthew Vaughn
43,Shawn Burkett
30,Justin Kurzel
47,John Madden
89,Quentin Tarantino
68,George Miller
71,Terry George
8,Sean Foley
79,Gore Verbinski
57,Fede Alvarez
77,Joss Whedon
9,James Gray
88,James Cameron
27,S.S. Rajamouli
65,Christopher Nolan
86,Colin Trevorrow
99,Olivier Assayas
21,Stephen Gaghan
51,J.J. Abrams
63,Tate Taylor
37,Christopher Nolan
18,Paul Greengrass
52,Anna Foerster
3,M. Night Shyamalan
2,R_idley Scott
85,James Wan
41,Greg Tiernan
7,Damien Chazelle
78,Quentin Tarantino
5,Dav_id Ayer
83,Martin Scorsese
84,Dav_id Fincher
87,Ben Affleck
58,Thea Sharrock
23,Ben Young
94,Todd Phillips
38,Scott Derrickson
96,Shane Black
